Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,RSI,StocOsci,ADMI,VVR,SMA
1999-01-22,21.0,23.44,18.63,19.69,5655600.0,0.0,1.0,1.6238244376876,1.8124973723522,1.4405642511486,1.5225287227652,67867200.0,,28.25132825132829,,,1.5225287227652
1999-01-25,21.25,22.0,19.69,21.75,1063500.0,0.0,1.0,1.6431556809934,1.7011494109108,1.5225287227652,1.681818167605,12762000.0,100.0,51.205051205051205,,inf,1.6021734451851
1999-01-26,22.0,22.44,19.75,20.06,715000.0,0.0,1.0,1.7011494109108,1.735172399129,1.5271682211586,1.5511389628578,8580000.0,53.09278350515461,35.59713559713559,100.0,148.74125874125875,1.5851619510760002
1999-01-27,20.13,20.63,19.0,20.0,509100.0,0.0,1.0,1.5565517109834,1.595214197595,1.4691744912412,1.5464994644644,6109200.0,52.157368011026534,27.038149260371483,60.675702219603146,86.88015684993056,1.5754963294231001
1999-01-28,20.0,20.13,19.81,19.94,474000.0,0.0,1.0,1.5464994644644,1.5565517109834,1.531807719552,1.541859966071,5688000.0,51.18617307631409,22.42441872071504,48.048634124980296,62.62882044638125,1.56876905675268
1999-01-29,19.94,20.0,19.0,19.0,508400.0,0.0,1.0,1.541859966071,1.5464994644644,1.4691744912412,1.4691744912412,6100800.0,38.94970245369449,5.708557560409446,54.784039506384175,48.198504418762745,1.5521699625007666
1999-02-01,19.0,19.5,19.0,19.38,322300.0,0.0,1.0,1.4691744912412,1.5078369778528,1.4691744912412,1.498557981066,3867600.0,44.704544132479526,4.6443087595351145,58.54015287139745,62.80534783593927,1.5445111080100857
1999-02-02,19.0,19.5,17.31,17.88,550200.0,0.0,1.0,1.4691744912412,1.5078369778528,1.3384952864939,1.3825705212311,6602400.0,31.91546830211709,0.4924559992285751,67.37266029459103,50.27025066202343,1.5242685346627125
1999-02-03,17.63,18.5,17.5,18.25,156500.0,0.0,1.0,1.3632392779253,1.4305120046295,1.3531870314063,1.4111807613237,1878000.0,36.72409440562331,4.320221361599664,73.04682275074946,55.94732832734791,1.5117032265139332
1999-02-04,18.5,19.75,18.25,19.25,379000.0,0.0,1.0,1.4305120046295,1.5271682211586,1.4111807613237,1.488505734547,4548000.0,47.51361557269677,24.73151733163062,56.26946672046609,69.69565059672797,1.50938347731724
1999-02-05,19.56,20.0,19.06,19.81,285100.0,0.0,1.0,1.5124764762462,1.5464994644644,1.4738139896345,1.531807719552,3421200.0,52.40771786960848,43.747482447371766,42.134207089504734,80.03772626691334,1.5114220447931273
1999-02-08,19.94,20.0,19.13,19.13,321000.0,0.0,1.0,1.541859966071,1.5464994644644,1.4792267377602,1.4792267377602,3852000.0,46.71186033025127,57.48677766469574,32.384686635518676,71.68989830067908,1.5087391025403833
1999-02-09,19.5,19.63,18.13,18.38,181200.0,0.0,1.0,1.5078369778528,1.5178892243718,1.401901764537,1.4212330078428,2174400.0,41.37115572893494,50.17095293507688,33.329252038608956,67.70382644450581,1.5020078644867232
1999-02-10,18.38,18.88,17.88,18.19,308800.0,0.0,1.0,1.4212330078428,1.4598954944544,1.3825705212311,1.4065412629303,3705600.0,40.11972626501589,41.49344806910403,35.44226107860629,61.84376489054573,1.4951888215184073
1999-02-11,18.25,20.5,18.25,19.75,275500.0,0.0,1.0,1.4111807613237,1.585161951076,1.4111807613237,1.5271682211586,3306000.0,52.75581724410478,70.70869274445138,28.35611771410953,69.56582672309891,1.495520214260793
1999-02-12,20.0,21.0,20.0,20.88,228600.0,0.0,1.0,1.5464994644644,1.6238244376876,1.5464994644644,1.6145454409008,2743200.0,59.433622153946835,100.09245819285856,26.303693273623487,75.97331614205231,1.490715019496207
1999-02-16,21.25,22.13,18.88,21.0,439600.0,0.0,1.0,1.6431556809934,1.7112016574298,1.4598954944544,1.6238244376876,5275200.0,60.0789418439178,96.32717664945085,30.089102957430242,88.29497995907728,1.495906839126907
1999-02-17,20.5,20.75,19.5,19.88,141100.0,0.0,1.0,1.585161951076,1.6044931943818,1.5078369778528,1.5372204676776,1693200.0,51.79695765940421,70.15603742500562,32.780993929808275,84.93582830025885,1.4952440536421356
1999-02-18,20.5,20.75,19.63,20.19,147300.0,0.0,1.0,1.585161951076,1.6044931943818,1.5178892243718,1.5611912093768,1767600.0,53.69946560844711,61.631265506787514,34.697699532417985,88.90746333045729,1.496624856735407
1999-02-19,20.0,21.25,19.75,20.88,157000.0,0.0,1.0,1.5464994644644,1.6431556809934,1.5271682211586,1.6145454409008,1884000.0,57.70123281108155,69.66122626460309,38.420303718272315,93.14063848144953,1.5070084959968069
1999-02-22,21.25,21.5,19.88,21.0,427600.0,0.0,1.0,1.6431556809934,1.6624869242992,1.5372204676776,1.6238244376876,5131200.0,58.375041289538046,75.52917714717309,42.16362743427773,104.66997411561691,1.5159561000412067
1999-02-23,21.5,22.44,20.25,22.0,287700.0,0.0,1.0,1.6624869242992,1.735172399129,1.5658307077702,1.7011494109108,3452400.0,63.581414247737165,91.07675253591634,48.16180495287585,112.42720017256256,1.5387117350183284
1999-02-24,25.25,26.25,23.19,23.75,1276600.0,0.0,1.0,1.9524555738863,2.0297805471095,1.7931661290464,1.8364681140514,15319200.0,70.52854883777485,81.10545096493439,58.01631794465092,146.84803710094909,1.569089403070307
1999-02-25,24.75,25.5,22.63,23.0,310700.0,0.0,1.0,1.9137930872747,1.9717868171921,1.7498641440414,1.778474384134,3728400.0,64.8215238940571,65.30828310839715,60.75518358927583,135.49695235725835,1.5898014494693784
1999-02-26,23.25,24.0,21.75,21.94,359600.0,0.0,1.0,1.7978056274398,1.8557993573572,1.681818167605,1.6965099125174,4315200.0,57.713461508226686,46.05571933756039,56.49139015493667,124.37030440044758,1.6015658918240498
1999-03-01,22.5,23.0,21.0,22.06,192000.0,0.0,1.0,1.7398118975224,1.778474384134,1.6238244376876,1.7057889093042,2304000.0,58.27132336784471,34.199881662849506,48.72784029768675,128.75476696124775,1.6177489040771926
1999-03-02,22.0,22.13,21.5,21.88,115100.0,0.0,1.0,1.7011494109108,1.7112016574298,1.6624869242992,1.691870414124,1381200.0,57.05542459998156,26.281728322597985,43.18363085425277,125.45725601886876,1.6370801473829926
1999-03-03,22.0,22.0,20.25,20.38,127900.0,0.0,1.0,1.7011494109108,1.7011494109108,1.5658307077702,1.5758829542892,1534800.0,48.05636912109091,4.7222082909779886,31.804062097012103,98.97665563272106,1.6491759824800567
1999-03-04,21.38,21.5,19.75,19.94,119500.0,0.0,1.0,1.6532079275124,1.6624869242992,1.5271682211586,1.541859966071,1434000.0,45.775605956211756,-9.572524610107067,24.260435165945953,113.61446381562608,1.6502253928309425
1999-03-05,20.13,21.13,20.13,21.06,164100.0,0.0,1.0,1.5565517109834,1.6338766842066,1.5565517109834,1.628463936081,1969200.0,52.01808180879442,-1.1356296607483785,18.87254917616201,134.72352523098792,1.6512195710580997
1999-03-08,20.5,22.0,20.13,21.38,158100.0,0.0,1.0,1.585161951076,1.7011494109108,1.5565517109834,1.6532079275124,1897200.0,53.65957401242528,8.808658569648045,16.88122375832493,160.90027928371939,1.6533183917598713
1999-03-09,21.31,22.38,21.31,22.06,298300.0,0.0,1.0,1.6477951793868,1.7305329007356,1.6477951793868,1.7057889093042,3579600.0,57.024142601407526,26.778030480175467,17.38275757351473,204.93471657922763,1.6653589947332
1999-03-10,22.38,22.38,21.38,21.69,490300.0,0.0,1.0,1.7305329007356,1.7305329007356,1.6532079275124,1.6771786692116,5883600.0,54.697064917001846,40.50974055415003,17.740985862443175,161.06961062999935,1.6736438132928284
1999-03-11,21.31,21.69,20.75,20.75,113100.0,0.0,1.0,1.6477951793868,1.6771786692116,1.6044931943818,1.6044931943818,1357200.0,49.20344690526363,35.61189190805969,13.103899141434546,188.27029324266894,1.6729257956843284
1999-03-12,20.88,20.88,20.0,20.38,189100.0,0.0,1.0,1.6145454409008,1.6145454409008,1.5464994644644,1.5758829542892,2269200.0,47.194163122389526,27.596551603305592,13.72727908771659,169.817095124937,1.669501404013014
1999-03-15,20.88,21.5,20.75,21.25,226700.0,0.0,1.0,1.6145454409008,1.6624869242992,1.6044931943818,1.6431556809934,2720400.0,52.142899772085805,49.35826217691327,9.927973598714352,164.33354936271334,1.6653589947331997
1999-03-16,21.38,21.63,20.38,20.56,164900.0,0.0,1.0,1.6532079275124,1.6725391708182,1.5758829542892,1.5898014494694,1978800.0,48.27851107894907,39.477441125331936,9.430898960797009,145.43384427148828,1.6477399472630567
1999-03-17,20.75,21.13,20.19,20.69,107000.0,0.0,1.0,1.6044931943818,1.6338766842066,1.5611912093768,1.5998536959884,1284000.0,49.044731395838284,32.71628297135604,10.345080962950032,167.32537290657308,1.634981326681228
1999-03-18,20.75,21.25,20.25,20.94,96500.0,0.0,1.0,1.6044931943818,1.6431556809934,1.5658307077702,1.6191849392942,1158000.0,50.561533680782176,37.46740439536734,9.902030259554401,183.70558583664604,1.6294581143081426
1999-03-19,20.88,21.63,20.88,21.0,219400.0,0.0,1.0,1.6145454409008,1.6725391708182,1.6145454409008,1.6238244376876,2632800.0,50.93899481972274,41.76517533353788,8.000391906384822,220.61652512551024,1.623603509192671
1999-03-22,21.44,21.5,20.38,20.38,76400.0,0.0,1.0,1.6578474259058,1.6624869242992,1.5758829542892,1.5758829542892,916800.0,46.9499618772204,23.441816885244805,9.030642917293124,200.50278570457945,1.6153186906330423
